date,trend_covid_topic
2021-03-07,36.94282945736435
2021-03-08,41.787790697674424
2021-03-09,46.632751937984494
2021-03-10,43.604651162790695
2021-03-11,41.787790697674424
2021-03-12,39.36531007751938
2021-03-13,32.09786821705426
2021-03-14,35.12596899224806
2021-03-15,39.36531007751938
2021-03-16,39.36531007751938
2021-03-17,34.520348837209305
2021-03-18,35.731589147286826
2021-03-19,34.520348837209305
2021-03-20,33.91472868217054
2021-03-21,33.309108527131784
2021-03-22,41.18217054263566
2021-03-23,44.21027131782946
2021-03-24,32.09786821705426
2021-03-25,38.15406976744186
2021-03-26,36.33720930232558
2021-03-27,35.731589147286826
2021-03-28,32.70348837209303
2021-03-29,46.632751937984494
2021-03-30,53.900193798449614
2021-03-31,35.731589147286826
2021-04-01,43.604651162790695
2021-04-02,37.548449612403104
2021-04-03,32.09786821705426
2021-04-04,31.492248062015506
2021-04-05,39.36531007751938
2021-04-06,60.562015503875976
2021-04-07,39.970930232558146
2021-04-08,33.91472868217054
2021-04-09,31.492248062015506
2021-04-10,27.858527131782946
2021-04-11,25.436046511627907
2021-04-12,28.464147286821706
2021-04-13,32.09786821705426
2021-04-14,23.61918604651163
2021-04-15,24.83042635658915
2021-04-16,24.22480620155039
2021-04-17,23.01356589147287
2021-04-18,22.407945736434108
2021-04-19,28.464147286821706
2021-04-20,25.83979328165375
2021-04-21,20.59108527131783
2021-04-22,22.609819121447032
2021-04-23,22.609819121447032
2021-04-24,23.01356589147287
2021-04-25,21.802325581395348
2021-04-26,26.243540051679588
2021-04-27,27.051033591731265
2021-04-28,20.18733850129199
2021-04-29,23.01356589147287
2021-04-30,21.39857881136951
2021-05-01,40.37467700258398
2021-05-02,25.436046511627907
2021-05-03,22.20607235142119
2021-05-04,20.99483204134367
2021-05-05,18.572351421188632
2021-05-06,16.149870801033593
2021-05-07,17.764857881136955
2021-05-08,14.131136950904393
2021-05-09,16.55361757105943
2021-05-10,21.802325581395348
2021-05-11,21.39857881136951
2021-05-12,18.572351421188632
2021-05-13,23.01356589147287
2021-05-14,22.20607235142119
2021-05-15,19.379844961240313
2021-05-16,17.764857881136955
2021-05-17,20.99483204134367
2021-05-18,21.802325581395348
2021-05-19,17.361111111111114
2021-05-20,17.764857881136955
2021-05-21,16.55361757105943
2021-05-22,16.149870801033593
2021-05-23,16.55361757105943
2021-05-24,18.16860465116279
2021-05-25,18.976098191214472
2021-05-26,14.534883720930234
2021-05-27,14.131136950904393
2021-05-28,12.919896640826876
2021-05-29,11.708656330749355
2021-05-30,10.901162790697674
2021-05-31,12.919896640826876
2021-06-01,15.342377260981912
2021-06-02,12.919896640826876
2021-06-03,14.131136950904393
2021-06-04,13.323643410852714
2021-06-05,11.304909560723516
2021-06-06,11.708656330749355
2021-06-07,13.323643410852714
2021-06-08,13.727390180878555
2021-06-09,12.516149870801035
2021-06-10,12.919896640826876
2021-06-11,13.323643410852714
2021-06-12,10.497416020671835
2021-06-13,10.901162790697674
2021-06-14,13.727390180878555
2021-06-15,16.149870801033593
2021-06-16,12.919896640826876
2021-06-17,12.112403100775195
2021-06-18,11.304909560723516
2021-06-19,10.497416020671835
2021-06-20,10.093669250645995
2021-06-21,12.919896640826876
2021-06-22,13.323643410852714
2021-06-23,10.901162790697674
2021-06-24,11.708656330749355
2021-06-25,10.093669250645995
2021-06-26,10.901162790697674
2021-06-27,10.497416020671835
2021-06-28,12.516149870801035
2021-06-29,12.919896640826876
2021-06-30,9.286175710594316
2021-07-01,10.093669250645995
2021-07-02,10.093669250645995
2021-07-03,8.882428940568477
2021-07-04,8.478682170542635
2021-07-05,10.901162790697674
2021-07-06,13.323643410852714
2021-07-07,11.337209302325583
2021-07-08,13.08139534883721
2021-07-09,12.645348837209303
2021-07-10,11.337209302325583
2021-07-11,10.465116279069768
2021-07-12,15.261627906976747
2021-07-13,15.69767441860465
2021-07-14,14.389534883720934
2021-07-15,17.441860465116278
2021-07-16,17.87790697674419
2021-07-17,17.005813953488374
2021-07-18,17.005813953488374
2021-07-19,20.058139534883722
2021-07-20,20.49418604651163
2021-07-21,18.313953488372096
2021-07-22,20.930232558139537
